 ,Area,Mean,Min,Max,X,Y,Circ.,Slice,AR,Round,Solidity
1,170.976,0.000,0,0,637.872,6.908,0.728,1,1.286,0.778,0.847
2,108.860,0.123,0,255,648.738,3.233,0.546,1,2.250,0.445,0.669
3,201.771,0.265,0,255,683.589,4.922,0.607,1,1.969,0.508,0.751
4,106.709,0.125,0,255,725.680,3.766,0.634,1,1.787,0.560,0.721
5,187.974,0.356,0,255,732.072,6.676,0.680,1,1.506,0.664,0.804
6,148.364,2.795,0,255,798.757,3.855,0.583,1,2.134,0.469,0.712
7,93.279,0.717,0,255,848.211,2.981,0.526,1,2.174,0.460,0.643
8,239.439,0.000,0,0,861.072,8.721,0.646,1,1.115,0.897,0.757
9,252.083,0.000,0,0,481.151,5.296,0.615,1,2.073,0.482,0.816
10,150.935,0.000,0,0,445.702,4.238,0.660,1,1.833,0.546,0.802
11,108.545,0.493,0,255,462.297,3.972,0.725,1,1.565,0.639,0.818
12,210.270,0.127,0,255,287.993,6.323,0.744,1,1.374,0.728,0.877
13,129.950,0.103,0,255,346.133,3.904,0.701,1,1.970,0.508,0.835
14,387.908,0.621,0,255,317.954,8.565,0.704,1,1.486,0.673,0.886
15,138.606,0.193,0,255,547.679,5.640,0.760,1,1.522,0.657,0.903
16,295.522,1.765,0,255,771.445,9.304,0.830,1,1.280,0.781,0.951
17,386.230,1.316,0,255,399.018,8.797,0.816,1,1.360,0.735,0.951
18,296.728,4.373,0,255,807.666,9.659,0.881,1,1.056,0.947,0.970
19,251.401,9.472,0,255,374.479,9.323,0.905,1,1.040,0.962,0.978
20,224.855,0.297,0,255,699.941,9.512,0.896,1,1.093,0.915,0.976
21,166.149,0.081,0,255,711.910,8.743,0.874,1,1.280,0.781,0.971
22,129.635,0.206,0,255,244.814,7.246,0.864,1,1.245,0.803,0.964
23,230.311,0.232,0,255,662.393,9.714,0.895,1,1.044,0.958,0.978
24,254.811,0.473,0,255,262.992,10.873,0.880,1,1.180,0.847,0.973
25,168.615,0.873,0,255,842.906,9.592,0.910,1,1.026,0.975,0.977
26,230.521,0.232,0,255,349.853,10.431,0.867,1,1.205,0.830,0.968
27,216.933,1.603,0,255,188.575,11.317,0.884,1,1.200,0.834,0.975
28,281.514,6.130,0,255,423.604,12.707,0.900,1,1.086,0.921,0.979
29,137.137,0.000,0,0,63.915,12.010,0.826,1,1.650,0.606,0.962
30,223.123,0.060,0,255,567.782,12.137,0.732,1,1.439,0.695,0.921
31,301.922,0.044,0,255,620.388,16.150,0.855,1,1.258,0.795,0.974
32,169.821,0.473,0,255,243.068,13.568,0.879,1,1.059,0.944,0.970
33,173.599,0.000,0,0,252.680,13.748,0.896,1,1.078,0.927,0.974
34,197.154,0.339,0,255,738.621,15.744,0.859,1,1.182,0.846,0.968
35,189.233,0.141,0,255,17.455,14.876,0.870,1,1.140,0.877,0.969
36,172.654,0.852,0,255,178.448,16.434,0.818,1,1.434,0.698,0.961
37,164.785,0.162,0,255,444.123,14.957,0.863,1,1.206,0.829,0.968
38,182.937,0.366,0,255,639.310,15.314,0.887,1,1.104,0.906,0.972
39,232.986,0.115,0,255,204.160,17.814,0.882,1,1.274,0.785,0.978
40,152.089,1.143,0,255,545.836,14.839,0.805,1,1.449,0.690,0.947
41,280.727,0.143,0,255,355.852,19.118,0.810,1,1.356,0.737,0.959
42,161.637,0.083,0,255,679.546,18.641,0.754,1,1.588,0.630,0.942
43,217.300,1.354,0,255,313.660,18.507,0.821,1,1.418,0.705,0.964
44,398.453,0.974,0,255,324.410,24.287,0.840,1,1.100,0.909,0.965
45,244.266,0.548,0,255,488.270,21.453,0.888,1,1.034,0.967,0.977
46,183.409,0.584,0,255,448.525,21.745,0.824,1,1.376,0.727,0.955
47,222.704,3.124,0,255,396.114,21.678,0.874,1,1.272,0.786,0.970
48,153.348,1.745,0,255,282.366,20.665,0.864,1,1.240,0.807,0.966
49,155.132,0.431,0,255,222.219,21.178,0.908,1,1.092,0.915,0.974
50,170.451,0.157,0,255,574.654,21.745,0.892,1,1.125,0.889,0.974
51,280.937,0.714,0,255,778.924,25.127,0.878,1,1.173,0.852,0.974
52,197.994,0.270,0,255,604.358,22.836,0.896,1,1.161,0.861,0.975
53,229.262,0.992,0,255,470.887,24.757,0.888,1,1.108,0.903,0.974
54,300.978,0.000,0,0,855.928,25.300,0.865,1,1.226,0.815,0.971
55,214.572,0.499,0,255,288.256,25.244,0.871,1,1.048,0.954,0.968
56,162.739,0.164,0,255,168.557,25.823,0.815,1,1.634,0.612,0.969
57,123.025,0.109,0,255,31.116,22.991,0.896,1,1.181,0.847,0.970
58,191.174,0.210,0,255,713.133,25.198,0.886,1,1.156,0.865,0.975
59,259.690,0.567,0,255,741.005,26.321,0.893,1,1.054,0.949,0.978
60,267.927,2.946,0,255,235.175,27.480,0.848,1,1.038,0.963,0.970
